# Residuals    
# Time         	p              	Ux             	Uy             	Uz             	e              	k              	T              
0              	N/A	N/A	N/A	N/A	N/A
5.36388e-06    	N/A	9.0142700e-05	3.9505582e-04	9.2093953e-05	1.7684941e-04	5.3835510e-04	N/A
5.40061e-06    	N/A	9.0186126e-05	3.8884386e-04	9.2050506e-05	1.7244407e-04	5.3473418e-04	N/A
5.43733e-06    	N/A	9.0117584e-05	3.8260468e-04	9.2019050e-05	1.7186096e-04	5.3155345e-04	N/A
5.47406e-06    	N/A	9.0148111e-05	3.7665836e-04	9.2071666e-05	1.7491992e-04	5.2860242e-04	N/A
5.51078e-06    	N/A	9.0274968e-05	3.7083445e-04	9.2149333e-05	1.6912679e-04	5.2481034e-04	N/A
5.54751e-06    	N/A	9.0213039e-05	3.6515384e-04	9.2097106e-05	1.6829852e-04	5.2152906e-04	N/A
5.58423e-06    	N/A	9.0187859e-05	3.5967099e-04	9.2044611e-05	1.7328104e-04	5.1874880e-04	N/A
5.62095e-06    	N/A	9.0277830e-05	3.5454680e-04	9.2182751e-05	1.6635139e-04	5.1505765e-04	N/A
5.65768e-06    	N/A	9.0170211e-05	3.4954779e-04	9.2116523e-05	1.6046717e-04	5.1167708e-04	N/A
5.6944e-06     	N/A	9.0069876e-05	3.4476415e-04	9.2070150e-05	1.5877244e-04	5.0862288e-04	N/A
5.73113e-06    	N/A	9.0108749e-05	3.4009176e-04	9.2088669e-05	1.5788007e-04	5.0561321e-04	N/A
5.76785e-06    	N/A	9.0095346e-05	3.3561836e-04	9.2071577e-05	1.5883398e-04	5.0267338e-04	N/A
5.80457e-06    	N/A	9.0075184e-05	3.3142292e-04	9.2050687e-05	1.5947688e-04	4.9985017e-04	N/A
5.8413e-06     	N/A	9.0022483e-05	3.2740840e-04	9.2033510e-05	1.5568118e-04	4.9676333e-04	N/A
5.87802e-06    	N/A	8.9960941e-05	3.2354077e-04	9.1918455e-05	1.5406836e-04	4.9377037e-04	N/A
5.91475e-06    	N/A	8.9851159e-05	3.1974421e-04	9.1773308e-05	1.5387547e-04	4.9097590e-04	N/A
5.95147e-06    	N/A	8.9792036e-05	3.1594339e-04	9.1670306e-05	1.5217379e-04	4.8800604e-04	N/A
5.98819e-06    	N/A	8.9777370e-05	3.1217114e-04	9.1607217e-05	1.4992193e-04	4.8516218e-04	N/A
6.02492e-06    	N/A	8.9656051e-05	3.0857748e-04	9.1446019e-05	1.4916120e-04	4.8246736e-04	N/A
6.06164e-06    	N/A	8.9584762e-05	3.0507762e-04	9.1313154e-05	1.4756412e-04	4.7975257e-04	N/A
6.09837e-06    	N/A	8.9515924e-05	3.0164750e-04	9.1219206e-05	1.4583104e-04	4.7700005e-04	N/A
6.13509e-06    	N/A	8.9390724e-05	2.9831246e-04	9.1076594e-05	1.4546607e-04	4.7440759e-04	N/A
6.17182e-06    	N/A	8.9318650e-05	2.9504511e-04	9.0984405e-05	1.4528595e-04	4.7182399e-04	N/A
6.20854e-06    	N/A	8.9346806e-05	2.9193798e-04	9.1004498e-05	1.4479610e-04	4.6932083e-04	N/A
6.24526e-06    	N/A	8.9314850e-05	2.8882605e-04	9.0978074e-05	1.4734382e-04	4.6693848e-04	N/A
6.28199e-06    	N/A	8.9256299e-05	2.8589694e-04	9.0961761e-05	1.4925432e-04	4.6481427e-04	N/A
6.31871e-06    	N/A	8.9155367e-05	2.8287620e-04	9.0880682e-05	1.5157008e-04	4.6274098e-04	N/A
6.35544e-06    	N/A	8.9155834e-05	2.8015722e-04	9.0835535e-05	1.4651787e-04	4.5981970e-04	N/A
6.39216e-06    	N/A	8.8944231e-05	2.7733580e-04	9.0670542e-05	1.4200684e-04	4.5698932e-04	N/A
6.42888e-06    	N/A	8.8759910e-05	2.7451550e-04	9.0532851e-05	1.4013348e-04	4.5461262e-04	N/A
6.46561e-06    	N/A	8.8705025e-05	2.7172208e-04	9.0474133e-05	1.3790271e-04	4.5211985e-04	N/A
6.50233e-06    	N/A	8.8532397e-05	2.6909979e-04	9.0349944e-05	1.3753216e-04	4.4982145e-04	N/A
6.53906e-06    	N/A	8.8373038e-05	2.6642204e-04	9.0188375e-05	1.3552883e-04	4.4739969e-04	N/A
6.57578e-06    	N/A	8.8237471e-05	2.6374773e-04	9.0041198e-05	1.3341588e-04	4.4501539e-04	N/A
6.6125e-06     	N/A	8.8058147e-05	2.6136423e-04	8.9897507e-05	1.3376842e-04	4.4286722e-04	N/A
6.64923e-06    	N/A	8.7931006e-05	2.5898278e-04	8.9811108e-05	1.3228222e-04	4.4061118e-04	N/A
6.68595e-06    	N/A	8.7878218e-05	2.5666957e-04	8.9779201e-05	1.3177119e-04	4.3841944e-04	N/A
