# Region type : patch inlet
# Faces  :     778
# Area   :     6.2874094e-05
# Time         	average(U)	average(p)	average(T)	average(rho)
6.56297e-05    	(4.8720871e+01 -1.1030960e-01 -4.1598336e+01)	1.0744406e+05	2.9180692e+02	1.2798128e+00
6.60638e-05    	(4.8849151e+01 -1.0853103e-01 -4.1708588e+01)	1.0743148e+05	2.9179568e+02	1.2797122e+00
6.6498e-05     	(4.8978051e+01 -1.0672089e-01 -4.1819225e+01)	1.0741878e+05	2.9178434e+02	1.2796106e+00
6.69321e-05    	(4.9107166e+01 -1.0490690e-01 -4.1929867e+01)	1.0740601e+05	2.9177296e+02	1.2795085e+00
6.73662e-05    	(4.9236123e+01 -1.0310442e-01 -4.2040182e+01)	1.0739322e+05	2.9176155e+02	1.2794061e+00
6.78003e-05    	(4.9364268e+01 -1.0129628e-01 -4.2149638e+01)	1.0738048e+05	2.9175019e+02	1.2793042e+00
6.82345e-05    	(4.9490327e+01 -9.9460386e-02 -4.2257161e+01)	1.0736796e+05	2.9173899e+02	1.2792041e+00
6.86686e-05    	(4.9612227e+01 -9.7564619e-02 -4.2361048e+01)	1.0735591e+05	2.9172816e+02	1.2791080e+00
6.91027e-05    	(4.9726579e+01 -9.5624362e-02 -4.2458555e+01)	1.0734473e+05	2.9171800e+02	1.2790193e+00
6.95368e-05    	(4.9828081e+01 -9.3681900e-02 -4.2545164e+01)	1.0733505e+05	2.9170901e+02	1.2789434e+00
6.9971e-05     	(4.9909594e+01 -9.1772208e-02 -4.2614756e+01)	1.0732771e+05	2.9170183e+02	1.2788874e+00
7.04051e-05    	(4.9962372e+01 -8.9999032e-02 -4.2659877e+01)	1.0732371e+05	2.9169726e+02	1.2788598e+00
7.08392e-05    	(4.9978991e+01 -8.8545712e-02 -4.2674101e+01)	1.0732395e+05	2.9169597e+02	1.2788684e+00
7.12733e-05    	(4.9954043e+01 -8.7400554e-02 -4.2652813e+01)	1.0732909e+05	2.9169850e+02	1.2789186e+00
